state,district,project_type,land_area_acres,number_of_landowners,acquisition_stage,number_of_objections,number_of_court_cases,compensation_completed_pct,pending_approvals,days_in_current_stage,approximate_delay_days,sanction_amount_lakh,land_acquisition_agency,environmental_clearance,forest_clearance,relocation_required,structures_affected,dispute_severity,payment_status,document_verification_status,project_length_km,last_review_days_ago
Haryana,Sirsa,Bridge,4.95,3.0,Notification,0.0,0.0,12.9,3.0,21.0,64,1219.0,NHAI,Pending,Not Required,No,6.0,None,Pending,Partial,170.89,166.0
Madhya Pradesh,Ujjain,Highway,13.3,5.0,Award,0.0,,37.0,,65.0,78,4452.0,Special LA Unit,Completed,Completed,No,10.0,None,Complete,Complete,70.89,66.0
Rajasthan,Kota,Bridge,19.9,10.0,Possession,0.0,0.0,81.5,0.0,82.0,80,3953.0,NHAI,Completed,Not Required,No,8.0,High,Complete,Complete,69.52,106.0
Haryana,Ambala,Bridge,7.53,6.0,Award,0.0,0.0,31.5,1.0,70.0,68,901.0,NHAI,Completed,Pending,No,9.0,None,Complete,Partial,19.75,151.0
Himachal Pradesh,Kangra,,3.72,1.0,Compensation,0.0,1.0,63.2,0.0,117.0,109,1293.0,NHAI,Not Required,Pending,No,10.0,Low,Complete,Complete,143.39,165.0
Rajasthan,Kota,Bypass,2.83,1.0,Objection,2.0,1.0,32.2,2.0,46.0,104,972.0,NHAI,Pending,Completed,No,22.0,Medium,Partial,Pending,171.2,170.0
Punjab,Ludhiana,Highway,13.63,2.0,Award,0.0,0.0,40.4,4.0,59.0,92,797.0,District Administration,Completed,Pending,No,4.0,None,Partial,Partial,2.62,93.0
Haryana,Hisar,Highway,50.4,17.0,Compensation,1.0,0.0,65.1,,57.0,101,1241.0,Special LA Unit,Completed,Completed,No,26.0,None,Pending,Pending,150.64,55.0
Punjab,Ludhiana,Highway,7.11,6.0,Possession,2.0,2.0,93.1,0.0,17.0,45,4266.0,Special LA Unit,Not Required,Completed,No,5.0,None,Pending,Pending,34.82,13.0
Rajasthan,Kota,Road Widening,17.52,5.0,Compensation,1.0,0.0,80.1,1.0,249.0,178,2321.0,NHAI,Completed,Not Required,No,26.0,None,Complete,Partial,169.25,13.0
Himachal Pradesh,Solan,Highway,1.52,2.0,Objection,2.0,0.0,39.3,0.0,104.0,96,1945.0,Special LA Unit,Completed,Completed,No,1.0,None,Complete,Complete,101.46,136.0
Rajasthan,Kota,Road Widening,16.4,8.0,Notification,0.0,0.0,13.2,,88.0,106,,NHAI,Not Required,Completed,No,29.0,Low,Complete,Complete,154.48,151.0
Himachal Pradesh,Sirmaur,Bridge,4.73,2.0,Compensation,1.0,0.0,75.1,3.0,40.0,64,960.0,District Administration,Completed,Completed,Yes,6.0,None,Partial,Partial,109.06,103.0
Uttarakhand,Udham Singh Nagar,Bypass,8.55,3.0,Compensation,0.0,0.0,76.7,2.0,132.0,123,,NHAI,Not Required,Pending,No,0.0,None,Complete,Partial,125.59,120.0
Madhya Pradesh,Jabalpur,Highway,12.77,8.0,Objection,2.0,0.0,18.6,0.0,25.0,78,3768.0,Special LA Unit,Pending,Completed,Yes,28.0,None,Complete,Complete,162.67,146.0
Rajasthan,Udaipur,Road Widening,2.91,4.0,Award,2.0,0.0,55.5,1.0,22.0,66,2811.0,State PWD,Pending,Not Required,No,3.0,None,Complete,Complete,49.14,143.0
Uttarakhand,Udham Singh Nagar,Highway,173.09,67.0,Notification,1.0,0.0,7.5,3.0,87.0,205,3303.0,Special LA Unit,Pending,Not Required,No,18.0,None,Partial,Complete,94.13,72.0
Rajasthan,Jaipur,,7.14,1.0,Notification,0.0,0.0,13.2,2.0,15.0,61,1344.0,District Administration,Completed,Not Required,No,22.0,None,Complete,Complete,160.31,163.0
Uttarakhand,Udham Singh Nagar,Bridge,20.0,9.0,Possession,1.0,1.0,84.5,0.0,110.0,92,4729.0,District Administration,Not Required,Completed,Yes,10.0,None,Complete,Complete,136.8,134.0
Punjab,Amritsar,Bridge,42.47,12.0,Compensation,5.0,1.0,76.1,1.0,107.0,163,4121.0,State PWD,Completed,Pending,Yes,27.0,Low,Complete,Complete,17.89,177.0
Uttar Pradesh,Lucknow,Highway,15.32,6.0,Objection,2.0,0.0,17.9,0.0,29.0,42,4395.0,NHAI,Completed,Not Required,No,24.0,None,Complete,Complete,42.27,62.0
Uttar Pradesh,Varanasi,Highway,4.21,2.0,Possession,0.0,0.0,92.6,0.0,33.0,32,3354.0,District Administration,Completed,Not Required,No,1.0,None,Complete,Complete,115.0,121.0
Uttar Pradesh,Meerut,Highway,13.03,4.0,Possession,2.0,0.0,92.4,0.0,106.0,100,3486.0,District Administration,Completed,Pending,No,18.0,None,Complete,Complete,34.12,143.0
Uttar Pradesh,Agra,Highway,2.5,1.0,Possession,0.0,0.0,81.1,0.0,77.0,45,400.0,NHAI,Completed,Not Required,Yes,20.0,Medium,Complete,Complete,50.69,94.0
Rajasthan,Udaipur,Highway,9.01,4.0,Compensation,1.0,0.0,95.8,1.0,145.0,139,846.0,NHAI,Completed,Completed,No,5.0,Low,Complete,Complete,51.45,62.0
Uttar Pradesh,Kanpur Nagar,Highway,49.67,20.0,Possession,0.0,0.0,85.2,0.0,54.0,56,705.0,State PWD,Completed,Completed,No,25.0,None,Partial,Pending,39.78,57.0
Uttarakhand,,Highway,3.6,1.0,Objection,1.0,0.0,11.8,1.0,73.0,94,2441.0,Special LA Unit,Not Required,Completed,No,19.0,Medium,Complete,Complete,125.56,106.0
Madhya Pradesh,Jabalpur,Highway,5.93,2.0,Possession,0.0,1.0,81.9,0.0,24.0,22,2960.0,State PWD,Pending,Completed,No,17.0,Medium,Partial,Complete,53.21,131.0
Punjab,Ludhiana,Bypass,57.72,23.0,Award,0.0,0.0,27.1,5.0,67.0,134,638.0,State PWD,Completed,Not Required,Yes,29.0,Low,Pending,Partial,153.7,112.0
Punjab,Jalandhar,Railway,10.3,6.0,Notification,0.0,0.0,20.7,1.0,53.0,83,3770.0,Special LA Unit,Completed,Completed,No,21.0,None,Complete,Complete,179.44,78.0
Punjab,Ludhiana,Road Widening,5.59,8.0,Notification,0.0,0.0,6.4,3.0,52.0,52,2769.0,State PWD,Pending,Completed,No,2.0,None,Complete,Complete,70.25,32.0
Haryana,Panipat,Highway,16.62,7.0,Objection,2.0,0.0,35.5,4.0,40.0,97,2997.0,State PWD,Pending,Completed,No,24.0,Medium,Partial,Partial,159.98,57.0
Madhya Pradesh,Jabalpur,Bypass,8.02,5.0,Compensation,1.0,0.0,83.0,2.0,57.0,82,4588.0,Special LA Unit,Completed,Not Required,No,30.0,None,Complete,Pending,91.04,104.0
Himachal Pradesh,Mandi,Highway,1.19,1.0,Possession,0.0,0.0,89.7,,46.0,63,2944.0,District Administration,Not Required,Completed,Yes,16.0,Low,Complete,Complete,119.28,113.0
Uttar Pradesh,Prayagraj,Bypass,3.76,5.0,Notification,0.0,0.0,10.3,3.0,26.0,78,68.0,NHAI,Completed,Not Required,No,13.0,High,Complete,Complete,170.39,140.0
Haryana,Karnal,Highway,68.61,24.0,Compensation,4.0,1.0,71.3,2.0,46.0,136,3855.0,NHAI,Completed,Not Required,No,3.0,Medium,Complete,Pending,105.74,78.0
Haryana,Sirsa,Bridge,15.78,7.0,Compensation,0.0,0.0,61.1,0.0,61.0,92,4386.0,Special LA Unit,Completed,Completed,No,15.0,None,Complete,Partial,177.79,56.0
Punjab,Amritsar,Highway,41.44,16.0,Notification,0.0,0.0,13.5,3.0,32.0,101,463.0,Special LA Unit,Not Required,Completed,Yes,1.0,Medium,Complete,Complete,43.92,20.0
Haryana,Karnal,Bypass,4.98,4.0,Compensation,0.0,0.0,65.6,1.0,154.0,117,2719.0,Special LA Unit,Not Required,Completed,No,0.0,None,Partial,Partial,176.49,149.0
Punjab,Firozpur,Highway,11.4,7.0,Notification,0.0,0.0,11.6,2.0,23.0,61,2375.0,State PWD,,Completed,No,4.0,High,Complete,Partial,33.0,151.0
Himachal Pradesh,Kangra,Bypass,10.34,4.0,Objection,2.0,0.0,9.0,0.0,24.0,89,798.0,District Administration,Completed,Completed,No,8.0,None,Complete,Complete,164.63,115.0
Madhya Pradesh,Jabalpur,Road Widening,7.5,5.0,Award,0.0,0.0,60.7,3.0,63.0,102,1416.0,NHAI,Completed,Pending,No,19.0,Medium,Partial,Complete,125.9,116.0
Himachal Pradesh,Mandi,Highway,14.28,,Possession,0.0,0.0,96.0,1.0,26.0,36,4286.0,District Administration,Completed,Completed,Yes,11.0,None,Pending,Partial,166.41,112.0
Uttar Pradesh,Varanasi,Railway,4.63,3.0,Notification,0.0,0.0,4.6,1.0,28.0,67,1988.0,District Administration,Completed,Completed,No,23.0,Low,Complete,Complete,136.56,131.0
Himachal Pradesh,Solan,Highway,33.38,10.0,Award,0.0,0.0,37.8,2.0,23.0,85,,NHAI,Not Required,Not Required,No,30.0,None,Complete,Partial,55.77,123.0
Uttar Pradesh,Kanpur Nagar,Road Widening,17.76,7.0,Compensation,0.0,0.0,76.1,0.0,101.0,98,3896.0,Special LA Unit,Pending,Pending,No,25.0,None,Pending,Partial,31.04,175.0
Punjab,Hoshiarpur,Highway,10.3,9.0,Compensation,0.0,0.0,73.1,1.0,71.0,71,2268.0,State PWD,Completed,Pending,No,22.0,None,Partial,Complete,178.95,140.0
Madhya Pradesh,Gwalior,Railway,13.37,6.0,Possession,1.0,0.0,92.9,0.0,91.0,65,4461.0,Special LA Unit,Not Required,Pending,No,17.0,High,Complete,Partial,132.89,125.0
Himachal Pradesh,Kangra,Bypass,9.23,3.0,Award,0.0,0.0,42.7,3.0,53.0,93,2523.0,Special LA Unit,Completed,Not Required,No,29.0,None,Partial,Partial,154.63,139.0
Rajasthan,Udaipur,Highway,2.76,3.0,Compensation,1.0,0.0,77.4,0.0,124.0,92,4929.0,State PWD,Completed,Pending,No,6.0,None,Partial,Partial,109.36,36.0
Haryana,Rohtak,Railway,5.14,3.0,Compensation,1.0,0.0,78.3,1.0,159.0,155,779.0,NHAI,Completed,Completed,No,22.0,None,Complete,Complete,4.13,78.0
Himachal Pradesh,Mandi,Bridge,10.25,3.0,Objection,1.0,0.0,14.3,2.0,100.0,123,4446.0,NHAI,Not Required,Completed,Yes,27.0,Low,Complete,Partial,159.78,110.0
Rajasthan,Udaipur,Railway,8.85,1.0,Compensation,0.0,0.0,,1.0,79.0,82,608.0,State PWD,Completed,Pending,Yes,26.0,None,Complete,Complete,126.31,142.0
Uttar Pradesh,Agra,Highway,20.71,8.0,Objection,1.0,0.0,30.5,1.0,60.0,88,4075.0,State PWD,Completed,Completed,Yes,9.0,High,Complete,Partial,157.52,112.0
Rajasthan,Jodhpur,Highway,19.23,8.0,Compensation,3.0,0.0,77.2,1.0,22.0,63,3324.0,State PWD,Completed,Not Required,No,0.0,None,Pending,Partial,55.49,106.0
Madhya Pradesh,Bhopal,Highway,7.42,3.0,Objection,1.0,0.0,22.8,1.0,24.0,63,2819.0,Special LA Unit,Not Required,Completed,No,27.0,None,Pending,Partial,80.12,35.0
Madhya Pradesh,Ujjain,Highway,5.29,4.0,Objection,2.0,0.0,26.9,2.0,27.0,98,4408.0,District Administration,Completed,Not Required,No,26.0,High,Complete,Complete,155.51,87.0
Uttarakhand,Dehradun,Highway,22.68,12.0,Possession,0.0,0.0,98.2,,7.0,3,3221.0,NHAI,Pending,Not Required,No,19.0,None,Pending,Pending,156.26,112.0
Uttar Pradesh,,Bypass,14.03,7.0,Possession,0.0,0.0,84.4,0.0,30.0,15,3487.0,District Administration,Not Required,Completed,No,25.0,None,Pending,Pending,142.24,160.0
Uttar Pradesh,Varanasi,Road Widening,7.04,3.0,Award,1.0,1.0,27.3,0.0,94.0,98,3783.0,NHAI,Pending,Completed,No,16.0,Low,Complete,Complete,72.52,112.0
Uttar Pradesh,Agra,Road Widening,4.52,3.0,Compensation,0.0,0.0,69.0,0.0,82.0,88,4211.0,NHAI,Completed,Completed,No,18.0,None,Complete,Partial,143.09,88.0
Himachal Pradesh,Shimla,Highway,6.72,5.0,Possession,0.0,0.0,93.1,0.0,36.0,36,1199.0,District Administration,Completed,Not Required,No,7.0,None,Partial,Complete,86.98,155.0
Himachal Pradesh,Sirmaur,Highway,16.66,9.0,Notification,1.0,0.0,21.6,1.0,35.0,64,4231.0,NHAI,Completed,Not Required,No,21.0,None,Complete,Complete,17.04,88.0
Uttar Pradesh,Kanpur Nagar,Railway,50.09,20.0,Compensation,2.0,1.0,80.1,0.0,108.0,143,2965.0,State PWD,Pending,Not Required,Yes,25.0,None,Complete,Complete,68.38,66.0
Uttar Pradesh,Meerut,Road Widening,9.97,4.0,Objection,1.0,0.0,25.5,1.0,21.0,55,208.0,Special LA Unit,Not Required,Completed,No,23.0,None,Partial,Complete,122.4,19.0
Rajasthan,Jodhpur,Bridge,5.88,5.0,Compensation,0.0,0.0,92.3,1.0,57.0,69,4596.0,State PWD,,Not Required,No,0.0,Medium,Pending,Complete,127.31,28.0
Himachal Pradesh,Solan,Road Widening,74.71,31.0,Notification,1.0,0.0,11.0,3.0,60.0,117,3866.0,NHAI,Completed,Pending,No,1.0,None,Complete,Complete,93.7,157.0
Uttarakhand,Udham Singh Nagar,Highway,8.7,6.0,Compensation,0.0,0.0,67.9,0.0,38.0,55,4463.0,Special LA Unit,Completed,Completed,No,26.0,High,Partial,Pending,159.14,32.0
Punjab,Moga,Railway,6.08,9.0,Objection,3.0,2.0,24.8,0.0,72.0,115,3871.0,State PWD,Completed,Not Required,No,7.0,Medium,Partial,Pending,96.27,138.0
Madhya Pradesh,Gwalior,Railway,8.45,6.0,Award,1.0,0.0,44.1,1.0,76.0,90,1760.0,District Administration,Completed,Not Required,No,19.0,Medium,Complete,Complete,145.12,140.0
Uttarakhand,Udham Singh Nagar,Highway,8.1,6.0,Compensation,1.0,1.0,68.2,3.0,94.0,125,1782.0,NHAI,Not Required,Pending,Yes,29.0,Low,Complete,Pending,165.29,160.0
Rajasthan,Ajmer,,35.16,15.0,Notification,1.0,0.0,14.2,2.0,24.0,97,1418.0,NHAI,Completed,Completed,No,16.0,High,Pending,Partial,35.08,113.0
Uttarakhand,Dehradun,Highway,2.88,2.0,Possession,0.0,0.0,89.5,0.0,51.0,37,2078.0,Special LA Unit,Completed,Completed,No,9.0,Medium,Complete,Complete,28.3,180.0
Uttarakhand,Udham Singh Nagar,,19.79,,Objection,2.0,0.0,22.3,1.0,52.0,95,222.0,Special LA Unit,Completed,Completed,No,29.0,None,Complete,Partial,154.97,81.0
Madhya Pradesh,Bhopal,Highway,11.83,4.0,Award,0.0,0.0,44.4,1.0,78.0,108,3740.0,NHAI,Not Required,Completed,No,3.0,Medium,Complete,Pending,84.84,50.0
Uttarakhand,Haridwar,Road Widening,7.44,3.0,Compensation,0.0,2.0,81.7,1.0,79.0,118,3774.0,Special LA Unit,Completed,Not Required,No,14.0,High,Complete,Complete,20.68,64.0
Uttarakhand,Haridwar,Railway,8.98,2.0,Notification,0.0,0.0,5.6,1.0,69.0,94,4933.0,State PWD,Not Required,Completed,No,21.0,Medium,Complete,Partial,3.82,150.0
Haryana,Rohtak,Highway,9.65,4.0,Compensation,0.0,0.0,76.4,6.0,76.0,132,2775.0,Special LA Unit,Completed,Completed,No,0.0,Low,Complete,Partial,119.35,105.0
Uttar Pradesh,Agra,Railway,12.87,6.0,Award,1.0,0.0,46.4,2.0,30.0,112,4939.0,District Administration,Pending,Completed,No,11.0,High,Complete,Partial,129.82,126.0
Rajasthan,Alwar,Railway,8.14,6.0,Compensation,0.0,0.0,77.3,1.0,62.0,81,1088.0,Special LA Unit,Completed,Completed,Yes,2.0,Low,Pending,Complete,7.34,30.0
Himachal Pradesh,Sirmaur,Highway,11.29,3.0,Compensation,1.0,0.0,75.0,1.0,62.0,102,2395.0,NHAI,Not Required,Completed,Yes,25.0,None,Complete,Partial,159.96,79.0
Uttar Pradesh,Prayagraj,Highway,6.17,5.0,Award,0.0,0.0,49.3,2.0,54.0,77,3923.0,NHAI,Pending,Completed,No,13.0,None,Complete,Complete,136.17,128.0
Madhya Pradesh,Bhopal,Highway,76.3,29.0,Objection,8.0,2.0,24.5,4.0,15.0,203,3958.0,Special LA Unit,Completed,Pending,No,17.0,Low,Complete,Complete,124.97,174.0
Uttarakhand,Haridwar,Highway,28.16,12.0,Objection,2.0,0.0,35.9,1.0,84.0,130,3879.0,NHAI,Pending,Completed,No,29.0,None,Complete,Complete,152.29,153.0
Uttar Pradesh,Varanasi,Bridge,18.09,8.0,Possession,2.0,1.0,87.3,0.0,38.0,65,2357.0,Special LA Unit,Completed,Completed,No,30.0,None,Complete,Partial,171.09,54.0
Madhya Pradesh,Indore,Bypass,8.19,8.0,Award,1.0,0.0,36.5,2.0,34.0,92,411.0,NHAI,Completed,Completed,Yes,1.0,None,Partial,Complete,173.75,165.0
Uttarakhand,Haridwar,Highway,24.0,8.0,Objection,3.0,0.0,21.4,1.0,68.0,127,4336.0,District Administration,Completed,Completed,Yes,22.0,None,Complete,Complete,142.22,26.0
Uttarakhand,Dehradun,Road Widening,15.4,6.0,Notification,0.0,0.0,10.3,2.0,33.0,73,1938.0,State PWD,Pending,Completed,No,0.0,Medium,Pending,Complete,39.66,46.0
Uttarakhand,Dehradun,Highway,13.21,6.0,Compensation,0.0,0.0,59.8,2.0,102.0,120,3266.0,State PWD,Not Required,Not Required,No,20.0,None,Pending,Complete,167.04,36.0
Rajasthan,Kota,Highway,7.59,5.0,Award,1.0,0.0,44.0,1.0,48.0,78,709.0,District Administration,Pending,Completed,No,30.0,Medium,Partial,Complete,69.12,108.0
Haryana,Ambala,Highway,15.08,7.0,Objection,3.0,0.0,24.5,2.0,53.0,108,4686.0,NHAI,Completed,Not Required,No,15.0,None,Partial,Partial,82.46,125.0
Haryana,Karnal,Highway,49.95,19.0,Possession,0.0,0.0,95.6,0.0,78.0,67,1320.0,State PWD,Completed,Not Required,No,20.0,None,Complete,Pending,13.36,3.0
Uttarakhand,Udham Singh Nagar,Highway,12.79,7.0,Possession,0.0,0.0,94.5,0.0,65.0,33,4986.0,District Administration,Not Required,Not Required,No,1.0,Medium,Partial,Pending,127.05,147.0
Uttar Pradesh,Varanasi,Highway,9.54,6.0,Possession,2.0,0.0,92.6,0.0,36.0,47,3591.0,State PWD,Completed,Not Required,No,0.0,Medium,Complete,Complete,20.93,88.0
Uttar Pradesh,Varanasi,Highway,12.99,6.0,Compensation,1.0,0.0,76.3,3.0,62.0,106,1684.0,NHAI,Completed,Not Required,No,1.0,Low,Complete,Complete,168.37,107.0
Punjab,Jalandhar,Highway,12.39,9.0,Award,2.0,1.0,38.8,3.0,97.0,133,1879.0,NHAI,Not Required,Completed,No,19.0,None,Partial,Complete,60.0,22.0
Uttarakhand,Nainital,Road Widening,7.5,5.0,Notification,1.0,0.0,13.7,2.0,57.0,86,4897.0,District Administration,Not Required,Completed,No,23.0,None,Complete,Complete,92.11,89.0
Punjab,Ludhiana,Highway,6.36,3.0,Award,0.0,0.0,56.1,1.0,29.0,88,2989.0,NHAI,Completed,Pending,No,16.0,None,Complete,Complete,144.09,126.0
Uttar Pradesh,Agra,Road Widening,23.44,12.0,Compensation,1.0,0.0,82.0,1.0,42.0,76,3477.0,NHAI,Completed,Pending,Yes,23.0,Medium,Pending,Partial,75.89,91.0
Himachal Pradesh,Mandi,Highway,33.27,10.0,Objection,1.0,0.0,27.1,2.0,17.0,101,3082.0,NHAI,Pending,Not Required,No,5.0,None,Pending,Partial,3.85,113.0
Uttar Pradesh,Meerut,Bridge,81.94,29.0,Award,2.0,1.0,,0.0,59.0,140,1228.0,District Administration,Completed,Completed,No,6.0,Medium,Partial,Complete,48.76,13.0
Uttarakhand,Haridwar,Highway,17.63,7.0,Compensation,0.0,0.0,53.9,2.0,73.0,94,705.0,NHAI,Not Required,Completed,No,4.0,Low,Complete,Complete,76.52,167.0
Uttar Pradesh,Kanpur Nagar,Road Widening,13.19,4.0,Compensation,1.0,0.0,79.5,0.0,71.0,67,65.0,State PWD,Completed,Pending,No,17.0,Medium,Complete,Partial,141.42,149.0
Himachal Pradesh,Sirmaur,Highway,25.7,12.0,Notification,1.0,0.0,2.3,2.0,17.0,72,2054.0,NHAI,Completed,Pending,Yes,11.0,Medium,Complete,Complete,117.59,17.0
Madhya Pradesh,Ujjain,Highway,5.52,5.0,Possession,0.0,0.0,99.0,0.0,154.0,73,3435.0,District Administration,Completed,Completed,No,10.0,None,Partial,Pending,122.03,76.0
Punjab,Hoshiarpur,Road Widening,20.62,12.0,Award,0.0,0.0,60.5,2.0,60.0,77,1542.0,NHAI,Completed,Completed,Yes,19.0,None,Complete,Complete,5.66,49.0
Madhya Pradesh,Gwalior,Railway,28.87,11.0,Compensation,2.0,0.0,86.1,5.0,53.0,104,1150.0,NHAI,Completed,Not Required,Yes,22.0,None,Complete,Partial,171.9,36.0
Punjab,Hoshiarpur,Bridge,28.52,12.0,Possession,0.0,0.0,90.9,0.0,75.0,65,1974.0,State PWD,Completed,Not Required,No,15.0,None,Complete,Complete,17.44,123.0
Haryana,Ambala,Road Widening,49.26,21.0,Notification,1.0,0.0,13.5,1.0,23.0,82,1195.0,State PWD,Not Required,Completed,No,25.0,None,Complete,Complete,83.91,5.0
Rajasthan,Alwar,Highway,7.18,4.0,Possession,0.0,0.0,87.5,0.0,42.0,43,2203.0,NHAI,Completed,Not Required,No,25.0,Medium,Partial,Complete,22.31,150.0
Uttar Pradesh,Kanpur Nagar,Railway,7.86,6.0,Compensation,0.0,0.0,71.0,1.0,15.0,52,2783.0,State PWD,Completed,Completed,No,13.0,None,Pending,Partial,42.91,55.0
Uttarakhand,Dehradun,Highway,9.95,5.0,Possession,0.0,0.0,86.5,0.0,72.0,53,1398.0,District Administration,Completed,Completed,No,6.0,None,Complete,Partial,48.15,107.0
Uttar Pradesh,Meerut,Road Widening,4.63,5.0,Award,0.0,0.0,31.9,0.0,27.0,45,203.0,State PWD,Completed,Completed,No,21.0,High,Partial,Partial,2.69,27.0
Uttar Pradesh,Meerut,Bypass,18.87,7.0,Notification,0.0,0.0,13.3,1.0,31.0,72,553.0,State PWD,Pending,Completed,Yes,18.0,None,Complete,Complete,116.94,145.0
Haryana,Panipat,Highway,21.2,6.0,Notification,1.0,0.0,4.0,0.0,36.0,71,2111.0,Special LA Unit,Completed,Completed,No,11.0,Low,Complete,Pending,98.26,157.0
Uttar Pradesh,Meerut,Road Widening,19.25,7.0,Compensation,0.0,1.0,71.2,0.0,187.0,137,928.0,State PWD,Completed,Completed,Yes,28.0,None,Complete,Partial,90.48,51.0
Rajasthan,Jaipur,Highway,13.56,6.0,Notification,1.0,0.0,16.2,3.0,65.0,126,,State PWD,Pending,Not Required,No,16.0,Medium,Pending,Partial,81.67,171.0
Uttarakhand,Udham Singh Nagar,Highway,28.08,12.0,Objection,5.0,0.0,40.6,2.0,89.0,155,866.0,District Administration,Completed,Completed,No,6.0,High,Complete,Complete,152.8,154.0
Uttarakhand,Haridwar,Bridge,19.47,9.0,Possession,0.0,0.0,90.7,0.0,25.0,20,184.0,NHAI,Not Required,Pending,No,22.0,High,Partial,Complete,56.42,65.0
Punjab,Hoshiarpur,Highway,7.16,3.0,Award,1.0,0.0,43.4,2.0,71.0,98,3115.0,Special LA Unit,Pending,Completed,Yes,14.0,None,Complete,Complete,34.03,126.0
Himachal Pradesh,Sirmaur,Highway,1.0,1.0,Objection,1.0,0.0,29.0,5.0,22.0,108,3138.0,District Administration,Completed,Not Required,No,3.0,High,Partial,Complete,151.08,56.0
Rajasthan,Kota,Road Widening,9.01,,Compensation,0.0,0.0,61.3,1.0,74.0,69,3375.0,District Administration,Completed,Pending,No,20.0,Medium,Pending,Complete,150.81,9.0
Madhya Pradesh,Indore,Highway,12.34,5.0,Objection,3.0,0.0,22.8,0.0,57.0,66,833.0,State PWD,Completed,Not Required,No,0.0,None,Partial,Pending,136.3,168.0
Uttar Pradesh,Agra,Highway,12.43,5.0,Award,0.0,0.0,43.6,1.0,51.0,61,3419.0,District Administration,Not Required,Completed,No,20.0,Low,Complete,Complete,23.83,174.0
Himachal Pradesh,Shimla,Highway,10.25,5.0,Notification,0.0,0.0,10.9,0.0,52.0,91,4321.0,Special LA Unit,Not Required,Completed,No,20.0,None,Complete,Pending,12.61,46.0
Haryana,Rohtak,Road Widening,7.57,2.0,Award,1.0,0.0,57.6,2.0,55.0,65,3043.0,District Administration,Not Required,Completed,No,21.0,Medium,Complete,Pending,100.94,142.0
Rajasthan,Alwar,Highway,5.81,2.0,Notification,0.0,0.0,19.0,1.0,64.0,89,1983.0,NHAI,Pending,Not Required,No,24.0,None,Partial,Partial,36.99,59.0
Uttarakhand,Dehradun,Railway,4.96,,Compensation,1.0,0.0,77.5,0.0,57.0,75,2433.0,District Administration,Not Required,Pending,No,1.0,None,Complete,Partial,123.11,44.0
Rajasthan,Kota,Highway,17.28,6.0,Award,1.0,0.0,56.9,1.0,24.0,101,4070.0,Special LA Unit,Completed,Not Required,No,19.0,Low,Pending,Complete,146.35,34.0
Uttar Pradesh,Lucknow,Bridge,30.12,10.0,Objection,2.0,0.0,17.1,1.0,31.0,103,758.0,District Administration,Pending,Pending,No,20.0,Medium,Complete,Complete,28.46,113.0
Punjab,Amritsar,Highway,4.12,2.0,Possession,0.0,0.0,94.9,0.0,101.0,63,3632.0,District Administration,Completed,Completed,No,5.0,Medium,Partial,Complete,82.49,67.0
Haryana,Hisar,Highway,11.34,6.0,Compensation,1.0,1.0,59.6,1.0,174.0,149,1384.0,State PWD,Not Required,Completed,No,29.0,Low,Complete,Partial,103.86,146.0
Punjab,Patiala,Bridge,23.35,12.0,Compensation,1.0,0.0,95.0,3.0,152.0,163,4395.0,NHAI,Not Required,Completed,No,15.0,None,Pending,Partial,80.4,20.0
Haryana,Rohtak,Bypass,10.17,5.0,Possession,0.0,0.0,89.4,0.0,59.0,20,742.0,District Administration,,Completed,No,22.0,Medium,Partial,Pending,168.05,171.0
Punjab,Firozpur,Highway,21.95,10.0,Objection,1.0,0.0,21.8,3.0,59.0,94,2608.0,State PWD,Pending,Pending,No,12.0,None,Pending,Complete,169.44,82.0
Haryana,Karnal,Highway,29.86,10.0,Compensation,1.0,0.0,78.0,2.0,121.0,132,2032.0,NHAI,Not Required,Pending,No,19.0,Medium,Pending,Complete,151.79,94.0
Rajasthan,Alwar,Bypass,16.7,8.0,Possession,1.0,0.0,86.7,0.0,46.0,34,2456.0,State PWD,Completed,Pending,No,29.0,None,Complete,Complete,13.76,137.0
Rajasthan,Alwar,Highway,7.84,2.0,Compensation,0.0,0.0,68.5,1.0,57.0,76,1942.0,NHAI,Completed,Completed,No,0.0,None,Complete,Complete,171.16,113.0
Punjab,Hoshiarpur,Highway,36.52,16.0,Objection,3.0,1.0,21.0,3.0,122.0,150,235.0,District Administration,Pending,Completed,No,21.0,None,Complete,Complete,137.95,130.0
Rajasthan,Alwar,Road Widening,9.51,5.0,Compensation,0.0,0.0,63.0,0.0,117.0,101,4296.0,District Administration,Pending,Completed,No,24.0,Low,Complete,Complete,124.17,9.0
Madhya Pradesh,Bhopal,Bypass,9.51,5.0,Notification,0.0,0.0,9.7,1.0,16.0,54,2692.0,State PWD,Completed,Pending,No,16.0,Low,Complete,Pending,73.19,2.0
Rajasthan,Ajmer,Road Widening,18.5,9.0,Notification,0.0,0.0,5.5,0.0,12.0,46,3021.0,District Administration,Completed,Completed,No,25.0,None,Partial,Complete,179.06,117.0
Madhya Pradesh,Jabalpur,Highway,9.24,4.0,Compensation,1.0,0.0,74.7,0.0,58.0,78,2633.0,District Administration,Completed,Completed,No,12.0,None,Pending,Complete,19.01,166.0
Uttarakhand,Nainital,Bridge,9.87,4.0,Notification,0.0,0.0,6.1,1.0,51.0,72,2667.0,State PWD,Not Required,Not Required,No,26.0,Medium,Complete,Complete,165.01,23.0
