Case ID,State,District,Project Type,Land Area (Acres),Number of Landowners,Acquisition Stage,Number of Objections,Number of Court Cases,Compensation Completed (%),Pending Approvals,Days in Current Stage,Approximate Delay Days,Notification_3A_Date,Sanction_Date,Notification_3D_Date,Sanction_Amount_Lakh,Land_Acquisition_Agency,Environmental_Clearance,Forest_Clearance,Relocation_Required,Structures_Affected,Dispute_Severity,Payment_Status,Document_Verification_Status,Project_Length_Km,Last_Review_Days_Ago
AH107648,Haryana,Ambala,Highway,14.36,6.0,Award,0.0,1.0,31.3,0.0,67.0,68,08-05-2025,14-08-2025,30-01-2026,1027.0,District Administration,Pending,Not Required,No,11,None,Partial,Partial,121.39,175
AH107649,Punjab,Jalandhar,Highway,12.55,7.0,Award,0.0,0.0,55.7,1.0,54.0,67,12-10-2025,14-05-2024,12-07-2024,3957.0,District Administration,Completed,Not Required,No,6,Low,Complete,Complete,66.29,69
AH107650,Madhya Pradesh,Indore,Bypass,8.48,4.0,Award,1.0,0.0,58.4,2.0,88.0,108,26-11-2024,18-06-2024,29-10-2024,310.0,NHAI,Completed,Pending,No,0,None,Pending,Partial,34.06,71
AH107651,Haryana,,Highway,37.55,15.0,Compensation,1.0,0.0,61.9,2.0,18.0,58,05-05-2025,02-11-2024,22-02-2025,2270.0,State PWD,Completed,Completed,No,23,None,Partial,Partial,160.61,75
AH107652,Madhya Pradesh,Indore,Road Widening,14.36,6.0,Compensation,1.0,0.0,96.1,0.0,48.0,41,14-09-2024,29-03-2024,28-08-2024,4381.0,NHAI,Completed,Completed,No,0,None,Pending,Partial,72.8,73
AH107653,Uttar Pradesh,Meerut,Road Widening,10.51,6.0,Compensation,0.0,0.0,70.2,1.0,74.0,87,31-08-2024,14-09-2025,10-01-2026,482.0,District Administration,Pending,Pending,No,25,Medium,Complete,Partial,9.82,19
AH107654,Rajasthan,Udaipur,Bypass,12.64,7.0,Notification,0.0,0.0,4.4,1.0,11.0,47,26-04-2024,21-03-2025,25-08-2025,4631.0,Special LA Unit,Pending,Pending,No,28,Low,Complete,Partial,88.87,139
AH107655,Madhya Pradesh,Indore,Railway,22.48,12.0,Award,0.0,0.0,44.9,2.0,84.0,108,22-10-2024,09-02-2024,09-05-2024,2391.0,District Administration,Pending,Completed,No,30,Low,Complete,Partial,165.17,43
AH107656,Punjab,Ludhiana,Highway,14.32,5.0,Award,0.0,0.0,39.4,0.0,50.0,42,23-12-2025,26-12-2024,18-02-2025,2145.0,Special LA Unit,Completed,Pending,No,8,None,Partial,Partial,169.82,65
AH107657,Himachal Pradesh,Solan,Highway,5.73,2.0,Notification,0.0,0.0,3.4,1.0,8.0,46,22-04-2026,16-01-2026,27-05-2026,3580.0,District Administration,Pending,Not Required,No,6,None,Partial,Complete,24.06,141
AH107658,Uttarakhand,Haridwar,Road Widening,53.43,20.0,Compensation,0.0,1.0,74.3,0.0,83.0,118,26-07-2025,27-03-2026,18-09-2026,3897.0,State PWD,Completed,Completed,Yes,23,None,Complete,Partial,173.13,15
AH107659,Uttarakhand,Haridwar,Bypass,17.68,7.0,Award,0.0,0.0,41.5,3.0,129.0,136,15-07-2025,15-05-2026,17-08-2026,2391.0,NHAI,Completed,Completed,Yes,17,Medium,Complete,Pending,156.75,84
AH107660,Uttarakhand,Haridwar,Railway,4.49,4.0,Notification,1.0,0.0,15.4,0.0,22.0,69,06-07-2025,10-04-2026,09-09-2026,461.0,NHAI,Completed,Not Required,No,6,None,Complete,Complete,5.09,47
AH107661,Haryana,Ambala,Road Widening,2.55,1.0,Compensation,0.0,0.0,97.6,1.0,44.0,62,04-03-2025,30-06-2025,08-12-2025,4844.0,Special LA Unit,Pending,Completed,Yes,30,None,Complete,Partial,37.74,137
AH107662,Madhya Pradesh,Gwalior,Bypass,21.44,11.0,Objection,1.0,0.0,21.5,2.0,25.0,70,15-01-2025,14-04-2026,18-08-2026,93.0,Special LA Unit,Completed,Completed,No,14,Low,Complete,Complete,140.95,6
AH107663,Uttarakhand,Haridwar,Highway,35.83,14.0,Compensation,1.0,0.0,82.0,0.0,80.0,107,12-07-2025,10-05-2026,05-10-2026,4364.0,State PWD,Not Required,Pending,No,22,Low,Partial,Complete,142.74,173
AH107664,Punjab,Amritsar,Highway,17.53,10.0,Objection,4.0,0.0,16.2,3.0,55.0,108,06-12-2025,25-07-2025,16-11-2025,2198.0,Special LA Unit,Completed,Not Required,Yes,9,Medium,Complete,Complete,68.94,115
AH107665,Madhya Pradesh,Ujjain,Bypass,20.1,13.0,Notification,0.0,0.0,18.0,0.0,17.0,59,07-01-2025,06-01-2025,05-06-2025,2598.0,NHAI,Completed,Completed,No,10,Medium,Complete,Partial,28.9,33
AH107666,Haryana,Sirsa,Road Widening,20.54,10.0,Notification,0.0,0.0,11.2,5.0,64.0,96,24-05-2025,19-05-2026,07-08-2026,3836.0,Special LA Unit,Completed,Completed,No,30,Medium,Partial,Complete,18.34,113
AH107667,Haryana,Hisar,Bypass,11.99,7.0,Award,0.0,0.0,47.4,0.0,108.0,98,27-02-2025,08-01-2025,26-04-2025,4705.0,NHAI,Completed,Completed,Yes,1,Medium,Complete,Complete,71.51,168
AH107668,Uttar Pradesh,Lucknow,Highway,2.86,4.0,Compensation,2.0,0.0,75.4,0.0,59.0,66,13-09-2024,29-05-2024,09-07-2024,794.0,District Administration,Completed,Pending,No,13,None,Complete,Partial,62.54,108
AH107669,Madhya Pradesh,Indore,Road Widening,6.59,3.0,Compensation,1.0,0.0,77.0,0.0,53.0,64,18-09-2024,05-04-2024,03-06-2024,4066.0,NHAI,Pending,Not Required,No,30,None,Partial,Complete,152.24,113
AH107670,Rajasthan,Kota,Highway,23.46,10.0,Notification,0.0,0.0,10.8,0.0,25.0,57,11-03-2024,25-05-2025,18-09-2025,3322.0,District Administration,,Not Required,Yes,30,None,Partial,Complete,162.51,46
AH107671,Haryana,Karnal,Highway,19.65,7.0,Compensation,0.0,0.0,59.3,2.0,61.0,82,30-01-2025,01-02-2024,18-06-2024,1872.0,State PWD,Completed,Not Required,Yes,19,None,Complete,Complete,112.86,122
AH107672,Uttarakhand,Dehradun,Highway,10.11,4.0,Award,0.0,0.0,37.4,4.0,101.0,124,03-10-2025,16-04-2024,20-05-2024,2157.0,District Administration,Completed,Completed,No,2,Medium,Complete,Complete,44.0,9
AH107673,Uttarakhand,Dehradun,Railway,7.49,4.0,Compensation,0.0,0.0,79.7,0.0,88.0,106,09-09-2025,08-08-2024,17-09-2024,3868.0,NHAI,Completed,Not Required,No,25,None,Partial,Complete,149.96,164
AH107674,Himachal Pradesh,Kangra,Highway,13.84,6.0,Objection,1.0,0.0,10.3,4.0,62.0,128,06-06-2026,21-04-2025,21-05-2025,743.0,State PWD,Completed,Pending,No,7,None,Partial,Pending,81.09,107
AH107675,Rajasthan,Udaipur,Highway,8.92,5.0,Compensation,0.0,0.0,84.8,1.0,72.0,91,05-02-2024,06-03-2025,21-06-2025,2553.0,NHAI,Pending,Completed,No,2,High,Complete,Partial,99.55,30
AH107676,Punjab,Hoshiarpur,Highway,11.16,5.0,Compensation,0.0,0.0,81.2,0.0,77.0,57,15-11-2025,05-04-2025,24-06-2025,3624.0,District Administration,Not Required,Pending,No,19,None,Partial,Complete,163.09,78
AH107677,Punjab,Hoshiarpur,Highway,13.36,6.0,Compensation,0.0,1.0,73.4,2.0,210.0,160,16-12-2025,01-04-2025,08-05-2025,2718.0,NHAI,Pending,Completed,No,17,None,Pending,Partial,169.73,90
AH107678,Haryana,Sirsa,Road Widening,6.17,5.0,Award,1.0,0.0,47.4,4.0,52.0,101,27-01-2025,13-06-2026,09-11-2026,,Special LA Unit,Completed,Pending,No,8,None,Partial,Complete,62.8,22
AH107679,Uttar Pradesh,Varanasi,Railway,23.57,9.0,Notification,0.0,,,1.0,14.0,65,11-09-2024,14-07-2024,31-10-2024,2627.0,NHAI,Completed,Not Required,No,28,None,Partial,Complete,163.54,6
AH107680,Madhya Pradesh,Ujjain,Road Widening,10.38,5.0,Objection,2.0,0.0,20.7,3.0,30.0,79,17-11-2024,02-03-2025,02-04-2025,2582.0,District Administration,Pending,Completed,No,19,None,Complete,Complete,159.16,79
AH107681,Uttarakhand,Nainital,Highway,18.07,10.0,Compensation,2.0,0.0,61.6,0.0,66.0,112,06-09-2025,05-07-2025,14-11-2025,4028.0,Special LA Unit,Not Required,Pending,Yes,19,None,Partial,Complete,173.39,118
AH107682,Himachal Pradesh,Shimla,Highway,12.6,7.0,Compensation,1.0,0.0,73.9,0.0,95.0,81,14-02-2026,03-09-2024,16-02-2025,4113.0,State PWD,Completed,Completed,No,4,High,Partial,Complete,114.73,53
AH107683,Uttarakhand,Dehradun,Highway,44.3,17.0,Compensation,1.0,1.0,64.8,3.0,141.0,173,01-08-2025,12-06-2024,12-09-2024,4596.0,District Administration,Completed,Completed,No,11,None,Partial,Complete,49.26,80
AH107684,Haryana,Karnal,Road Widening,18.94,5.0,Award,0.0,0.0,47.1,2.0,37.0,58,07-04-2025,11-02-2024,01-08-2024,407.0,Special LA Unit,Not Required,Completed,No,17,Low,Complete,Partial,166.75,39
AH107685,Uttarakhand,Udham Singh Nagar,Bypass,16.89,7.0,Notification,0.0,0.0,6.6,1.0,29.0,84,10-08-2025,20-10-2024,20-01-2025,1631.0,NHAI,Completed,Not Required,No,9,None,Partial,Partial,74.09,90
AH107686,Rajasthan,Jodhpur,Highway,16.37,11.0,Award,2.0,0.0,38.5,1.0,80.0,104,04-03-2024,16-08-2024,26-09-2024,4390.0,District Administration,Not Required,Completed,No,18,None,Complete,Pending,133.02,147
AH107687,Uttarakhand,Dehradun,Bridge,70.2,26.0,Compensation,3.0,1.0,68.9,1.0,80.0,141,01-07-2025,25-06-2024,12-08-2024,,District Administration,Pending,Not Required,Yes,3,None,Partial,Partial,128.02,116
AH107688,Rajasthan,Jodhpur,Highway,11.5,5.0,Notification,0.0,0.0,20.4,2.0,34.0,57,07-02-2024,01-09-2024,11-10-2024,1915.0,District Administration,Completed,Completed,No,20,None,Pending,Complete,109.07,167
AH107689,Himachal Pradesh,Sirmaur,Railway,13.73,6.0,Possession,1.0,0.0,84.8,0.0,73.0,66,13-05-2026,18-09-2025,02-12-2025,3160.0,District Administration,Completed,Completed,No,0,None,Partial,Complete,89.78,125
AH107690,Himachal Pradesh,Solan,Railway,13.05,7.0,Notification,1.0,1.0,15.1,1.0,36.0,99,11-03-2026,14-01-2026,11-04-2026,2342.0,State PWD,Not Required,Completed,No,24,None,Complete,Complete,126.41,166
AH107691,Haryana,Ambala,Railway,2.25,1.0,Compensation,0.0,0.0,73.2,0.0,66.0,66,02-04-2025,09-04-2025,14-07-2025,4443.0,District Administration,Completed,Completed,No,10,None,Complete,Complete,164.86,39
AH107692,Madhya Pradesh,Indore,Road Widening,12.92,7.0,Objection,1.0,0.0,31.1,2.0,40.0,72,02-12-2024,29-02-2024,10-06-2024,2812.0,State PWD,Completed,Not Required,No,28,None,Partial,Pending,21.92,131
AH107693,Punjab,Amritsar,Highway,28.33,12.0,Possession,1.0,1.0,95.5,0.0,65.0,69,21-10-2025,24-10-2025,01-04-2026,2263.0,State PWD,Completed,Completed,Yes,17,High,Partial,Pending,31.14,100
AH107694,Uttarakhand,Dehradun,Railway,18.5,5.0,Compensation,2.0,0.0,74.4,1.0,110.0,133,27-07-2025,16-05-2024,16-06-2024,3136.0,Special LA Unit,Completed,Pending,No,11,None,Partial,Complete,111.41,62
AH107695,Uttarakhand,Dehradun,Road Widening,43.14,12.0,Objection,2.0,0.0,23.4,4.0,59.0,125,26-09-2025,21-02-2024,03-08-2024,991.0,District Administration,Pending,Not Required,No,27,None,Pending,Pending,119.18,154
AH107696,Haryana,Ambala,Road Widening,23.28,9.0,Award,0.0,0.0,47.4,1.0,77.0,86,09-04-2025,26-05-2025,30-07-2025,3865.0,District Administration,Completed,Completed,No,19,None,Complete,Partial,135.03,174
AH107697,Uttar Pradesh,Kanpur Nagar,Highway,18.3,6.0,Possession,1.0,0.0,91.7,0.0,56.0,46,31-07-2024,17-01-2025,09-07-2025,1055.0,NHAI,Pending,Completed,No,30,Medium,Partial,Complete,43.01,151
AH107698,Rajasthan,Jodhpur,Highway,25.42,11.0,Compensation,0.0,0.0,90.9,2.0,79.0,114,06-03-2024,07-10-2024,26-11-2024,167.0,State PWD,Pending,Completed,No,4,None,Complete,Partial,31.59,160
AH107699,Uttar Pradesh,Agra,Bridge,16.28,6.0,Notification,1.0,0.0,20.3,0.0,15.0,53,11-09-2024,20-05-2026,04-07-2026,303.0,NHAI,Completed,Not Required,No,3,High,Complete,Complete,25.95,85
AH107700,Haryana,Karnal,Highway,9.41,5.0,Compensation,0.0,0.0,71.6,2.0,99.0,112,21-04-2025,23-03-2024,10-05-2024,377.0,Special LA Unit,Pending,Not Required,No,29,Medium,Complete,Complete,127.92,45
AH107701,Madhya Pradesh,Indore,Highway,10.71,6.0,Award,1.0,0.0,48.1,5.0,41.0,122,16-01-2025,18-02-2024,02-05-2024,548.0,Special LA Unit,Completed,Pending,No,8,None,Pending,Complete,162.89,63
AH107702,Haryana,Ambala,Highway,1.58,1.0,Objection,2.0,0.0,20.3,1.0,28.0,56,31-03-2025,12-06-2025,30-11-2025,300.0,State PWD,Not Required,Completed,No,22,Medium,Pending,Complete,42.91,108
AH107703,Uttar Pradesh,Kanpur Nagar,Road Widening,46.33,17.0,Compensation,1.0,2.0,86.3,4.0,33.0,119,06-09-2024,11-01-2025,20-04-2025,1541.0,State PWD,Completed,Not Required,No,0,Low,Partial,Partial,154.56,23
AH107704,Himachal Pradesh,Solan,Railway,10.09,4.0,Possession,0.0,1.0,92.3,0.0,78.0,69,24-04-2026,22-12-2025,14-02-2026,4805.0,District Administration,Pending,Pending,No,3,Low,Pending,Complete,177.79,34
AH107705,Madhya Pradesh,Indore,Bridge,4.92,5.0,Notification,0.0,0.0,21.3,1.0,50.0,83,26-11-2024,06-02-2024,11-06-2024,557.0,NHAI,Not Required,Completed,No,10,None,Complete,Pending,13.91,173
AH107706,Punjab,Ludhiana,,8.75,4.0,Award,0.0,0.0,33.9,1.0,105.0,100,31-01-2026,12-01-2025,28-04-2025,3396.0,District Administration,Pending,Completed,Yes,25,Medium,Complete,Complete,77.66,133
AH107707,Madhya Pradesh,Indore,Highway,53.17,23.0,Objection,1.0,0.0,,0.0,129.0,144,17-12-2024,11-05-2024,23-09-2024,4361.0,NHAI,Completed,Completed,No,20,Medium,Pending,Complete,65.92,80
AH107708,Haryana,Karnal,Highway,12.69,8.0,Possession,0.0,1.0,86.7,0.0,47.0,57,03-02-2025,07-02-2024,27-06-2024,4055.0,District Administration,Completed,Not Required,Yes,2,None,Complete,Pending,101.53,32
AH107709,Uttarakhand,Udham Singh Nagar,Highway,14.86,6.0,Possession,2.0,0.0,84.5,0.0,102.0,96,27-06-2025,20-02-2025,17-07-2025,1841.0,District Administration,Not Required,Pending,No,12,None,Partial,Partial,139.95,138
AH107710,Uttar Pradesh,Meerut,Road Widening,70.33,25.0,Possession,1.0,0.0,90.6,0.0,46.0,63,24-08-2024,23-10-2025,14-12-2025,311.0,District Administration,Not Required,Pending,No,10,None,Complete,Partial,38.54,153
AH107711,Uttar Pradesh,Lucknow,Bridge,24.29,8.0,Notification,0.0,0.0,9.3,1.0,67.0,102,16-07-2024,21-05-2024,02-09-2024,1873.0,NHAI,Pending,Not Required,No,25,High,Complete,Pending,139.66,12
AH107712,Madhya Pradesh,Gwalior,Highway,9.35,6.0,Notification,0.0,0.0,4.2,4.0,17.0,53,07-12-2024,28-01-2026,01-06-2026,3027.0,State PWD,Completed,Not Required,No,2,None,Pending,Complete,14.12,77
AH107713,Punjab,Hoshiarpur,Highway,2.82,2.0,Compensation,,0.0,65.8,1.0,45.0,41,24-12-2025,11-04-2025,02-08-2025,3799.0,State PWD,Completed,Completed,No,2,None,Complete,Pending,177.83,10
AH107714,Uttar Pradesh,Kanpur Nagar,Road Widening,20.56,7.0,Notification,1.0,0.0,16.1,0.0,78.0,79,10-05-2024,08-03-2025,30-08-2025,751.0,District Administration,Not Required,Completed,No,10,None,Complete,Partial,85.38,51
AH107715,Haryana,Sirsa,Road Widening,6.71,5.0,Notification,0.0,0.0,10.8,0.0,82.0,75,28-01-2025,10-04-2026,01-10-2026,1541.0,State PWD,Completed,Completed,No,19,Low,Partial,Partial,173.02,81
AH107716,Uttarakhand,Udham Singh Nagar,Road Widening,20.92,10.0,Objection,1.0,0.0,14.8,0.0,53.0,70,27-08-2025,23-10-2024,23-03-2025,3027.0,State PWD,Not Required,Not Required,Yes,24,Medium,Pending,Pending,130.24,83
AH107717,Uttarakhand,Dehradun,Highway,11.46,4.0,Compensation,1.0,0.0,84.8,1.0,85.0,93,27-09-2025,29-06-2024,03-09-2024,3590.0,NHAI,Completed,Completed,No,30,High,Complete,Pending,38.01,150
AH107718,Haryana,Rohtak,Highway,16.9,8.0,Compensation,0.0,0.0,51.3,2.0,57.0,82,25-01-2025,08-12-2025,27-03-2026,1589.0,State PWD,Pending,Not Required,Yes,25,Low,Partial,Complete,164.46,143
AH107719,Rajasthan,Jaipur,Highway,25.57,11.0,Compensation,0.0,0.0,75.4,3.0,97.0,110,14-03-2024,06-04-2024,03-09-2024,4120.0,State PWD,Completed,Completed,No,5,Low,Complete,Partial,101.03,93
AH107720,Rajasthan,Alwar,Highway,2.75,5.0,Notification,0.0,0.0,9.4,4.0,28.0,89,15-01-2024,23-02-2026,04-05-2026,4018.0,NHAI,Completed,Pending,Yes,11,Low,Complete,Complete,161.36,150
AH107721,Haryana,Rohtak,Railway,13.32,6.0,Compensation,0.0,0.0,63.2,0.0,77.0,82,26-02-2025,12-01-2026,28-05-2026,1832.0,NHAI,Completed,Not Required,No,29,Medium,Pending,Complete,123.24,92
AH107722,Punjab,Firozpur,Highway,11.76,5.0,Award,0.0,0.0,50.2,2.0,69.0,83,30-12-2025,29-05-2026,04-08-2026,2703.0,NHAI,Not Required,Completed,No,17,None,Complete,Partial,136.67,6
AH107723,Rajasthan,Udaipur,Road Widening,15.25,8.0,Objection,2.0,1.0,13.3,3.0,29.0,139,26-01-2024,18-02-2025,10-04-2025,2415.0,State PWD,Pending,Not Required,No,23,None,Pending,Partial,73.37,76
AH107724,Himachal Pradesh,Sirmaur,Bridge,18.33,10.0,Compensation,1.0,0.0,79.9,0.0,134.0,112,09-03-2026,13-07-2025,16-09-2025,3360.0,NHAI,Pending,Not Required,Yes,22,None,Complete,Complete,99.01,103
AH107725,Uttarakhand,Haridwar,Road Widening,13.59,7.0,Compensation,0.0,0.0,95.6,0.0,91.0,73,31-08-2025,05-03-2026,20-08-2026,1645.0,NHAI,Not Required,Completed,No,10,Low,Partial,Complete,140.74,20
AH107726,Rajasthan,Jaipur,Highway,6.88,4.0,Notification,0.0,0.0,7.7,4.0,31.0,102,08-01-2024,28-04-2024,24-10-2024,1681.0,Special LA Unit,Completed,Completed,No,14,Medium,Complete,Complete,107.06,37
AH107727,Madhya Pradesh,Bhopal,Bridge,4.57,2.0,Compensation,0.0,0.0,81.5,1.0,77.0,76,05-11-2024,02-10-2024,09-03-2025,2144.0,Special LA Unit,Not Required,Not Required,No,13,Low,Pending,Complete,98.18,53
AH107728,Uttar Pradesh,Kanpur Nagar,Highway,3.1,2.0,Compensation,2.0,1.0,56.2,0.0,45.0,83,17-07-2024,28-02-2025,09-05-2025,1118.0,District Administration,Completed,Not Required,No,29,Low,Partial,Complete,118.55,37
AH107729,Himachal Pradesh,Sirmaur,Railway,13.22,6.0,Compensation,1.0,1.0,90.5,1.0,73.0,99,04-05-2026,18-07-2025,11-12-2025,2924.0,District Administration,Completed,Completed,Yes,3,None,Complete,Complete,110.36,123
AH107730,Haryana,Rohtak,Highway,18.68,9.0,Possession,2.0,2.0,93.0,0.0,41.0,74,14-05-2025,03-09-2025,04-11-2025,4792.0,NHAI,Completed,Completed,No,4,High,Partial,Partial,124.27,36
AH107731,Madhya Pradesh,Gwalior,Bypass,8.93,5.0,Compensation,0.0,0.0,73.4,4.0,49.0,75,18-10-2024,10-04-2026,29-05-2026,1780.0,NHAI,Not Required,Completed,No,21,None,Partial,Pending,15.79,76
AH107732,Uttar Pradesh,Kanpur Nagar,Highway,24.19,9.0,Compensation,1.0,0.0,74.4,0.0,82.0,85,07-09-2024,16-03-2025,23-05-2025,4311.0,NHAI,Pending,Completed,No,18,None,Complete,Pending,96.36,35
AH107733,Haryana,Panipat,Highway,10.83,7.0,Objection,1.0,0.0,30.0,0.0,44.0,79,22-05-2025,03-06-2024,23-07-2024,2347.0,NHAI,Completed,Pending,No,17,None,Pending,Complete,78.77,50
AH107734,Rajasthan,Jodhpur,Bridge,11.1,5.0,Award,0.0,0.0,56.2,4.0,74.0,125,05-01-2024,19-06-2024,23-10-2024,870.0,NHAI,Not Required,Not Required,No,16,None,Pending,Partial,106.49,75
AH107735,Uttar Pradesh,Meerut,Road Widening,3.52,2.0,Compensation,0.0,1.0,84.9,1.0,132.0,114,19-08-2024,21-12-2025,02-05-2026,2506.0,District Administration,Pending,Pending,No,5,None,Complete,Complete,161.68,82
AH107736,Uttar Pradesh,Kanpur Nagar,Highway,8.19,6.0,Possession,1.0,0.0,91.1,0.0,40.0,35,28-05-2024,18-02-2025,25-03-2025,2522.0,Special LA Unit,Pending,Not Required,Yes,7,None,Complete,Complete,34.12,66
AH107737,Uttarakhand,Nainital,Highway,26.12,12.0,Compensation,1.0,1.0,90.9,2.0,102.0,125,12-07-2025,22-07-2025,06-09-2025,171.0,District Administration,Pending,Completed,No,16,High,Partial,Partial,40.25,143
AH107738,Uttarakhand,Nainital,Highway,39.17,16.0,Compensation,0.0,0.0,81.4,1.0,71.0,100,25-08-2025,21-05-2025,30-08-2025,2422.0,State PWD,Completed,Completed,No,1,None,Partial,Complete,132.94,145
AH107739,Haryana,Rohtak,Highway,10.16,8.0,Compensation,0.0,2.0,86.4,3.0,6.0,71,24-02-2025,01-01-2026,16-02-2026,860.0,State PWD,Completed,Completed,No,29,None,Partial,Complete,162.83,51
AH107740,Rajasthan,Jodhpur,Road Widening,24.95,7.0,Compensation,0.0,0.0,69.2,0.0,64.0,87,06-05-2024,15-07-2024,16-12-2024,3982.0,State PWD,Pending,Not Required,No,30,None,Complete,Complete,14.88,63
AH107741,Madhya Pradesh,Indore,Highway,39.74,17.0,Objection,2.0,0.0,19.9,0.0,78.0,139,29-11-2024,02-06-2024,31-08-2024,,NHAI,Completed,Pending,No,30,Low,Complete,Complete,40.59,73
AH107742,Punjab,Amritsar,Bridge,5.38,1.0,Award,0.0,0.0,30.6,1.0,95.0,104,28-01-2026,22-10-2025,21-01-2026,1555.0,State PWD,Pending,Not Required,Yes,21,Medium,Complete,Complete,99.7,18
AH107743,Uttar Pradesh,Kanpur Nagar,Railway,15.64,7.0,Compensation,1.0,0.0,67.8,1.0,103.0,113,02-07-2024,25-01-2025,24-02-2025,63.0,District Administration,Completed,Completed,No,24,None,Complete,Complete,30.58,43
AH107744,Uttar Pradesh,Meerut,Bridge,14.04,6.0,Compensation,1.0,0.0,77.0,0.0,79.0,96,27-05-2024,04-01-2026,19-05-2026,2876.0,NHAI,Pending,Not Required,No,7,Low,Complete,Partial,31.5,62
AH107745,Rajasthan,Jaipur,Road Widening,29.78,12.0,Compensation,0.0,0.0,77.0,2.0,74.0,111,10-04-2024,25-04-2024,10-09-2024,3535.0,State PWD,Not Required,Pending,No,4,None,Complete,Complete,77.78,85
AH107746,Punjab,Bathinda,Highway,5.87,2.0,Possession,1.0,0.0,88.7,0.0,25.0,21,05-01-2026,01-09-2024,22-01-2025,2149.0,State PWD,Completed,Completed,No,20,Medium,Complete,Pending,135.75,101
AH107747,Rajasthan,Alwar,Road Widening,15.62,4.0,Possession,0.0,0.0,87.2,0.0,10.0,4,17-04-2024,14-05-2026,02-09-2026,4532.0,NHAI,Completed,Not Required,No,11,Medium,Complete,Complete,68.59,180
AH107748,Uttarakhand,Haridwar,Highway,9.59,,Compensation,0.0,0.0,62.7,1.0,122.0,130,07-06-2025,29-01-2026,09-04-2026,1021.0,District Administration,Completed,Completed,No,28,None,Pending,Complete,34.99,89
AH107749,Himachal Pradesh,Mandi,Highway,17.14,7.0,Compensation,0.0,0.0,84.7,1.0,73.0,94,18-06-2026,26-02-2024,07-04-2024,3785.0,State PWD,Completed,Not Required,No,18,None,Partial,Complete,20.87,72
AH107750,Uttarakhand,Haridwar,Bypass,33.72,14.0,Compensation,1.0,0.0,86.3,,-35.0,147,31-07-2025,05-01-2026,23-03-2026,2503.0,District Administration,Completed,Pending,No,7,Medium,Partial,Complete,97.09,10
AH107751,Madhya Pradesh,Indore,Railway,41.92,17.0,Compensation,3.0,2.0,80.0,0.0,105.0,175,06-01-2025,28-02-2024,18-06-2024,1605.0,Special LA Unit,Completed,Pending,No,5,None,Complete,Partial,103.39,44
AH107752,Uttar Pradesh,Lucknow,Highway,33.98,16.0,Objection,3.0,0.0,24.1,2.0,25.0,96,05-07-2024,18-04-2024,04-06-2024,1476.0,State PWD,Completed,Pending,No,6,None,Pending,Complete,178.41,38
AH107753,Rajasthan,Alwar,Highway,5.15,5.0,Possession,0.0,1.0,86.7,0.0,49.0,57,02-01-2024,19-03-2026,26-04-2026,2276.0,State PWD,Completed,Not Required,No,27,None,Complete,Complete,39.19,136
AH107754,Uttar Pradesh,Lucknow,Highway,7.99,6.0,Objection,2.0,0.0,12.7,2.0,42.0,81,20-05-2024,23-04-2024,24-06-2024,448.0,District Administration,Not Required,Pending,No,26,None,Pending,Complete,87.87,45
AH107755,Himachal Pradesh,Shimla,Road Widening,28.09,10.0,Compensation,1.0,0.0,59.4,0.0,111.0,81,07-05-2026,27-09-2024,06-11-2024,3271.0,NHAI,Completed,Completed,Yes,21,None,Partial,Complete,55.22,171
AH107756,Uttar Pradesh,Lucknow,Highway,19.97,10.0,Notification,0.0,0.0,14.0,4.0,34.0,82,09-05-2024,01-05-2024,02-06-2024,2073.0,NHAI,Completed,Not Required,No,19,Medium,Complete,Complete,89.59,161
AH107757,Rajasthan,Kota,Bypass,9.55,5.0,Compensation,2.0,0.0,77.8,3.0,105.0,164,18-01-2024,21-06-2025,01-10-2025,3418.0,NHAI,Pending,Completed,No,8,None,Complete,Complete,169.84,130
AH107758,Punjab,Patiala,Road Widening,5.48,1.0,Objection,2.0,0.0,12.7,0.0,82.0,80,04-01-2026,21-02-2024,11-07-2024,2600.0,State PWD,Completed,Completed,No,7,Low,Partial,Partial,23.67,116
AH107759,Madhya Pradesh,Bhopal,Highway,1.0,4.0,Compensation,0.0,0.0,79.0,2.0,26.0,72,11-01-2025,15-09-2024,28-12-2024,4888.0,District Administration,Pending,Not Required,No,27,High,Complete,Complete,16.89,154
AH107760,Madhya Pradesh,,,3.08,1.0,Possession,0.0,0.0,86.9,0.0,26.0,23,17-11-2024,20-10-2024,02-12-2024,459.0,NHAI,Pending,Completed,No,15,High,Complete,Complete,18.71,120
AH107761,Punjab,Amritsar,Bridge,9.21,3.0,Notification,0.0,0.0,3.7,0.0,36.0,78,07-10-2025,06-08-2025,25-10-2025,2490.0,District Administration,Pending,Completed,No,21,Low,Pending,Partial,58.57,66
AH107762,Haryana,Hisar,Bypass,9.33,7.0,Notification,0.0,0.0,9.5,3.0,28.0,50,15-04-2025,22-03-2025,26-04-2025,2704.0,District Administration,Completed,Not Required,No,29,None,Complete,Complete,103.44,76
AH107763,Himachal Pradesh,Mandi,Road Widening,16.94,8.0,Possession,1.0,0.0,83.7,0.0,47.0,45,03-04-2026,22-06-2024,23-10-2024,1285.0,District Administration,Completed,Completed,No,25,None,Complete,Complete,152.52,163
